3000    230         17.981    23.364    21.964      90.0      90.0      90.0
0       265         18.158    23.577    22.181      90.0      90.0      90.0
1000    275         18.115    23.525    22.128      90.0      90.0      90.0
2000    245         18.037    23.428    22.035      90.0      90.0      90.0
2000    260         18.052    23.442    22.047      90.0      90.0      90.0
3000    220         17.971    23.353    21.957      90.0      90.0      90.0
3000    215         17.972    23.352    21.955      90.0      90.0      90.0
0       275         18.174    23.594      22.2      90.0      90.0      90.0
2000    255         18.047    23.435    22.043      90.0      90.0      90.0
1000    265         18.108    23.516     22.12      90.0      90.0      90.0
1000    255         18.096    23.499    22.105      90.0      90.0      90.0
0       280          18.18    23.597    22.205      90.0      90.0      90.0
3000    225         17.981    23.357    21.964      90.0      90.0      90.0
1000    260         18.105    23.504    22.111      90.0      90.0      90.0
2000    250         18.043     23.43    22.036      90.0      90.0      90.0
0       270         18.167    23.586    22.194      90.0      90.0      90.0
3000    235         17.982    23.363    21.963      90.0      90.0      90.0
2000    240         18.037    23.425    22.028      90.0      90.0      90.0
1000    270         18.141    23.467    22.135      90.0      90.0      90.0
0       260         18.157    23.577    22.178      90.0      90.0      90.0
