#pressure/atm  T/K                 Hfus/kJ/(mol)       Sfus/kJ/(mol K)     
4000           241.1               4.3                 0.01779             
6000           254.0               3.8                 0.01488             
7000           258.4               3.7                 0.01450             
8000           262.4               4.9                 0.01863             
