#pressure/atm  T/K                 Hfus/kJ/(mol)       Sfus/kJ/(mol K)     
8000           260.5               4.0                 0.01542             
9000           268.3               4.4                 0.01625             
10000          275.1               4.8                 0.01752             
12000          287.6               5.0                 0.01751             
