#pressure/atm  T/K                 Hfus/kJ/(mol)       Sfus/kJ/(mol K)     
0              269.1               5.7                 0.02125             
1000           258.1               5.0                 0.01932             
2000           244.5               3.7                 0.01529             
3000           220.6               2.9                 0.01309             
