	Lineares Fitten von Data1_B
0.03	139.47510164095
0.137368421052632	141.932321177669
0.244736842105263	144.389540714387
0.352105263157895	146.846760251105
0.459473684210526	149.303979787824
0.566842105263158	151.761199324542
0.674210526315789	154.21841886126
0.781578947368421	156.675638397979
0.888947368421053	159.132857934697
0.996315789473684	161.590077471415
1.10368421052632	164.047297008134
1.21105263157895	166.504516544852
1.31842105263158	168.961736081571
1.42578947368421	171.418955618289
1.53315789473684	173.876175155007
1.64052631578947	176.333394691726
1.74789473684211	178.790614228444
1.85526315789474	181.247833765162
1.96263157894737	183.705053301881
2.07	186.162272838599
