0.633	-19.2	1.76	-80.7 	0.827	-141.3
0.632	0.10	1.51	-141.3	1.51	-141.3
0.831	15.3	1.51	-220		
0.991	25.7	1.51	-141.3		
1.094	33.2	0.827	-141.3		
1.253	41.8	0.827	-220		
1.399	49.8	0.827	-141.3		
1.551	56.9	0.759	-113.8		
1.64	60.4	0.618	-62.5		
1.763	66.5	0.633	-19.2		
1.767	66.5				
1.872	71				
1.977	74.6				
2.128	79.6				
2.21	81.6				
2.21	62.4				
2.186	37.7				
2.151	21.1				
2.1	0				
1.76	-80.7				
