#T/K		   P/MPA
248.15327938154155 199.79016850340838
248.49977315916897 550.7976993580485
249.03096933417652 758.7018857922585
248.96591335960156 560.0209394403946
249.07820562875918 195.7770634283247
249.43205356003418 569.2441795227408
249.9574984097532 759.583818525844
249.89819376046677 578.4674196050869
250.00237760380782 189.4604111491616
250.3643339608994 587.690659687433
250.8840274853299 760.4657512594295
250.830474161332 596.9138997697792
250.92673814689869 183.71964567101827
251.29661436176463 606.1371398521253
251.81027370884325 760.483853791485
251.7627545621972 615.3603799344714
251.85100440596844 177.69093679236482
252.2288947626298 624.5836200168176
252.73680278441998 761.3657865250705
252.6949406790413 633.5189166986538
252.7752706650382 171.6622279137116
253.16098659545278 642.45421338049
253.66323757597553 761.959775858146
253.5110317378758 650.715379311296
253.69953692410792 165.63351903505838
253.9772976503366 660.3225439276555
254.58976665155222 762.8417085917315
254.44381498685368 670.6975576120414
254.62380318317767 159.60481015640516
254.91052089141303 681.6484580974472
255.51601287506557 762.8598111237872
255.37722679597238 692.599358582853
255.54806944224742 153.57610127775183
255.84374413248946 702.9743722672389
256.4426362346634 764.0296872578826
256.3104500370488 713.9252727526448
256.4719585652327 146.39561879705877
256.77715594160816 724.8761732380506
257.369071026219 764.6236765909582
257.24357899410415 734.9632435219266
257.39575340419685 138.9271929158558
257.8031923730782 746.7797844620678
258.36482343010425 764.7583141731219
258.1765822391313 755.6172897571951
258.31964252718205 131.74671043516275
259.14651339243164 771.1850901889569
259.24353165016737 124.56622795446958
259.92184232613397 781.7581003177014
260.1673264891315 117.09780207326662
260.77423273310086 791.9486944567705
261.0911213280956 109.62937619206366
261.5495616668032 802.521704585515
262.0148218830386 101.87300691035068
262.4296176993968 813.0144924814294
262.9384281539605 93.8286942281278
263.35947365400455 824.056713775866
263.4382591779411 88.07963175612565
264.1072985918306 834.8211474057821
264.3236489923011 81.18633840377356
264.98735462442426 845.3139353016966
265.24687812713853 71.99025211951084
265.91737220878247 856.8497738541502
266.1701072619759 62.794165835248236
266.66528694091437 867.8884392940757
267.3631772652676 877.6920918104557
267.0933363968133 53.59807955098552
268.0611933016489 887.8796688608489
268.01656553165066 44.40199326672291
268.75914648201626 897.8752836442355
268.93979466648807 35.20590698246019
269.4570368063694 907.6789361606154
270.15505284275076 917.8665132110086
269.8630238013255 26.00982069819736
270.85281745507575 927.2862411933753
270.6700950221392 15.659697995388001
271.5508963474712 937.6657805107752
271.47782623110083 7.32517909614819
272.24891238385254 947.8533575611684
272.9466769961776 957.2730855435351
273.644755888573 967.6526248609349
274.3427719249544 977.8402019113281
275.0405365372794 987.2599298936948
275.7387097136959 997.9274126116046
