#T/K		   P/MPA
180.40210177877756 492.74231335149955
180.3324258871676 279.95214037464825
181.32721659403742 489.3050950774358
181.25867211068095 279.9702429067038
182.25233140929728 485.86787680337204
182.1851069022365 280.56423223977936
183.17725765651488 481.85477172828837
183.1115416937921 281.1582215728549
184.10227818775363 478.1296100537147
184.0380707693688 282.0401543064404
185.0273930030135 474.6923917796511
184.96441127690326 282.34620023900595
185.95231925023108 470.6792867045674
185.89065750041658 282.3643027710616
186.87743406549095 467.24206843050365
186.8171865759933 283.2462355046472
187.80236031270857 463.2289633554201
187.74352708352777 283.55228143721274
188.72747512796843 459.7917450813562
188.67015044312558 284.7221575713081
189.65249565920715 456.06658340678257
189.59639666663892 284.74026010336377
190.57742190642477 452.0534783316989
190.52264289015224 284.7583626354194
191.50253672168463 448.61626005763526
191.44926624975008 285.9282387695148
192.42755725292335 444.8910983830616
192.37551247326343 285.94634130157044
193.3525777841621 441.16593670848783
193.30213583286124 287.11621743566593
194.27769259942195 437.7287184344242
194.22838205637458 287.1343199677216
195.20261884663958 433.7156133593404
195.1546282798879 287.1524224997771
196.12763937787832 429.99045168476675
196.08125163948574 288.3222986338725
197.05275419313816 426.553233410703
197.00749786299906 288.34040116592814
197.9777747243769 422.82807173612935
197.93402693857578 289.2223338995136
198.90251240355227 418.23907986002587
198.82164814143567 289.14370102589703
199.82762721881213 414.8018615859621
199.78689652168694 290.41031256566475
200.62687286587266 734.1446696505358
200.7528363180931 411.6525867124084
200.7132370292214 290.7163584982303
201.55330765742823 734.7386589836113
201.67795113335296 408.2153684383446
201.63957753675587 291.022404430796
202.4797424489838 735.3326483166869
202.6028773805706 404.20226336326095
202.56610661233256 291.90433716438133
203.40608295651828 735.6386942492525
203.52799219583045 400.7650450891972
203.4923528358459 291.922439696437
204.33261203209497 736.5206269828379
204.45291844304805 396.75194001411353
204.41869334338037 292.22848562900253
205.2588582556083 736.5387295148936
205.37803325830788 393.3147217400499
205.34522241895706 293.1104183625881
206.18510447912163 736.5568320469492
206.30314807356774 389.87750346598614
206.27156292649153 293.4164642951537
207.11163355469836 737.4387647805347
207.22807432078537 385.86439839090247
207.19809200206822 294.29839702873915
208.03797406223282 737.7448107131003
208.15318913604523 382.4271801168388
208.12433822558157 294.3164995607948
208.96440885378837 738.3388000461757
209.07811538326285 378.41407504175515
209.050678733116 294.62254549336046
209.89084364534398 738.9327893792513
210.00341876656495 375.5527435687112
209.97720780869273 295.5044782269458
210.8170898688573 738.9508919113069
210.81281565989974 372.30522474514714
210.9035483162272 295.8105241595114
211.74343037639176 739.2569378438725
211.8529884089368 366.66270321701415
211.83007739180388 296.69245689309685
212.66995945196845 740.138870577458
212.77829179223892 363.8013717439703
212.75632361531723 296.7105594251525
213.5962056754818 740.1569731095136
213.70340660749878 360.36415346990657
213.6826641228517 297.01660535771816
214.52273475105852 741.0389058430992
214.62899284286425 358.36665219839267
214.37763164255006 297.8940124582897
215.44907525859298 741.3449517756646
215.55354195399735 353.2017735212693
215.76718954586232 298.49705305739303
216.3753214821063 741.3630543077204
216.4786567692572 349.7645552472055
216.69362433741787 299.0910423904685
217.30156770561965 741.3811568397759
217.40377158451707 346.32733697314166
217.61987056093122 299.10914492252414
218.22809678119634 742.2630895733614
218.3286978317347 342.3142318980581
218.5463053524868 299.7031342555997
219.15453157275192 742.857078906437
219.25381264699453 338.87701362399434
219.54266117410728 301.6806096010272
220.08106064832862 743.7390116400225
220.17873889421216 334.8639085489107
220.42606473842227 312.2941241452461
220.39923779161205 301.08307518875745
221.00730687184196 743.7571141720781
221.10385370947202 331.42669027484703
221.07700162025614 320.1388564115556
221.3250440230268 299.75744185176666
221.9335530953553 743.7752167041338
222.02925137679523 328.8533022023131
222.2511016784979 299.1996575828023
222.86017645495312 744.9450928382291
222.9555918843297 329.15934813487866
223.17734790201123 299.2177601148579
223.78642267846647 744.9631953702849
223.88183810784304 329.1774506669343
224.10359412552458 299.2358626469136
224.71295175404316 745.8451281038703
224.80808433135638 329.19555319898984
225.0298403490379 299.2539651789692
225.63929226157762 746.1511740364358
225.7343305548697 329.2136557310455
225.95589800450898 298.69618091000507
226.56553848509094 746.1692765684916
226.66057677838305 329.23175826310114
226.88195565998006 298.1383966410408
227.49197327664655 746.7632659015671
227.5868230018964 329.2498607951568
227.8082018834934 298.15649917309645
228.41840806820213 747.3572552346425
228.5130692254097 329.26796332721244
228.73444810700676 298.1746017051521
229.34474857573656 747.6633011672081
229.43931544892303 329.2860658592681
229.6603171944356 297.0409306351678
230.27127765131326 748.5452339007936
230.36537310439414 328.72828159030394
230.58656341794892 297.05903316722345
231.19752387482663 748.5633364328493
231.29143075986522 328.17049732133955
231.5129982095045 297.653022500299
232.12377009833995 748.5814389649049
232.2174884153363 327.6127130523753
232.21135995396332 308.89639201922864
232.44622145058096 318.9789366700908
232.36860684439242 294.0992691761272
233.0503934579378 749.7513150990003
233.14580888731436 333.9655703956498
233.36256785187635 288.76298214860196
233.9766396814511 749.769417631056
234.07431792733465 340.89431453994416
234.2872112470306 283.88604687198847
234.90316875702783 750.6513503646415
235.02651111346108 349.43599429039557
235.2117603581637 278.7211681948651
235.82950926456226 750.957396297207
235.70065443569405 357.4347489336119
236.13640375331798 273.8442329182516
236.7557554880756 750.9754988292627
236.65347618196128 367.89605135412955
237.0610471484722 268.9672976416381
237.30463934544585 376.431847781663
237.6821902796312 751.5694881623382
237.98569054362645 264.0903623650246
238.28044125046148 386.35610841786377
238.6086250711868 752.1634774954138
238.93160441394605 394.8919048453971
238.91023965475958 258.9254836879012
239.4192162287891 752.5632417449757
239.8846650130668 406.08266388054005
239.8348830499138 254.0485484112877
240.69305621017628 753.3559817945786
240.58305818553265 417.4220145329731
240.7593378770258 248.5957263336544
241.2811370779281 427.8015538503729
241.6193024336896 753.3740843266344
241.68369842011668 242.85496085551108
241.97953025039394 439.14090450280605
242.54592579328744 754.5439604607297
242.67767199880345 449.71240608721246
242.60796467918644 236.82625197685786
243.47245486886413 755.4258931943152
243.3524690235829 459.7075683072976
243.5323252222773 231.08548649871454
243.86499696240804 469.1620682366545
244.3987953763986 755.7319391268808
244.53959284794243 478.54295120231836
244.45668576536818 225.34472102057111
245.32513588393306 756.0379850594463
245.23798602040827 489.8823018547515
245.26608265870294 222.09720219700705
245.93619062483185 500.6457657061645
246.25166495950975 756.9199177930318
246.6116790657662 512.7525128633226
247.1782883191076 758.0897939271274
247.10135255787114 523.1279791110101
247.56749275830373 532.3512191933562
248.1045345426209 758.1078964591829
248.03363295873635 541.5744592757023
